product_id,product_name,category,price,review_score,review_count,sales_month_1,sales_month_2,sales_month_3,sales_month_4,sales_month_5,sales_month_6,sales_month_7,sales_month_8,sales_month_9,sales_month_10,sales_month_11,sales_month_12,total_sales,average_monthly_sales,total_revenue,review_score_category,average_monthly_growth_rate
1,Product_1,Clothing,190.4,1.7,220,479,449,92,784,604,904,446,603,807,252,695,306,6421,535.0833333333334,1222558.4000000001,Low,0.6932078631855096
2,Product_2,Home & Kitchen,475.6,3.2,903,21,989,861,863,524,128,610,436,176,294,772,353,6027,502.25,2866441.2,Medium,4.496109450932649
3,Product_3,Toys,367.34,4.5,163,348,558,567,143,771,409,290,828,340,667,267,392,5580,465.0,2049757.2,High,0.5089951290322184
4,Product_4,Toys,301.34,3.9,951,725,678,59,15,937,421,670,933,56,157,168,203,5022,418.5,1513329.48,Medium,5.574398131927565
5,Product_5,Books,82.23,4.2,220,682,451,649,301,620,293,411,258,854,548,770,257,6094,507.8333333333333,501109.62,High,0.1652357723499924
6,Product_6,Toys,82.22,3.6,270,834,288,38,422,329,245,614,979,851,630,738,485,6453,537.75,530565.66,Medium,0.8768716404099943
7,Product_7,Electronics,33.75,3.8,632,565,140,539,244,188,700,896,965,447,66,32,516,5298,441.5,178807.5,Medium,1.6020086083234246
8,Product_8,Electronics,433.76,4.4,906,905,83,48,926,94,555,280,102,202,753,376,445,4769,397.4166666666667,2068601.44,High,2.111564690969413
9,Product_9,Electronics,302.55,2.0,848,809,693,419,106,616,85,42,992,696,298,213,708,5677,473.0833333333333,1717576.35,Medium,2.3586517836353575
10,Product_10,Clothing,355.5,3.0,400,319,390,636,87,7,555,485,566,632,462,561,179,4879,406.5833333333333,1734484.5,Medium,6.979833607785486
11,Product_11,Toys,15.19,1.9,182,125,590,12,128,66,841,595,768,737,724,439,341,5366,447.1666666666667,81509.54,Low,2.089856143913498
12,Product_12,Health,485.11,5.0,991,276,214,991,906,495,374,962,100,201,819,491,132,5961,496.75,2891740.71,High,0.568314986420885
13,Product_13,Electronics,417.06,4.8,618,975,525,35,886,190,445,702,197,329,100,392,442,5218,434.8333333333333,2176219.08,High,2.395970377753892
14,Product_14,Books,110.11,1.2,729,203,214,100,340,365,377,50,812,362,55,488,835,4201,350.0833333333333,462572.11,Low,2.1438225805972566
15,Product_15,Clothing,95.0,3.8,205,193,402,793,3,767,389,897,225,891,331,721,252,5864,488.6666666666667,557080.0,Medium,23.5135602412105
16,Product_16,Books,95.79,4.7,582,680,127,85,326,520,656,209,942,453,835,945,264,6042,503.5,578763.18,High,0.46445597062573096
17,Product_17,Toys,155.6,1.7,556,663,821,515,409,989,50,125,462,355,750,28,92,5259,438.25,818300.4,Low,0.5935036579121512
18,Product_18,Home & Kitchen,264.75,3.3,841,546,476,222,878,116,241,491,236,215,392,38,661,4512,376.0,1194552.0,Medium,1.7497077772287206
19,Product_19,Books,218.81,4.7,813,695,759,337,305,266,293,508,25,971,742,858,410,6169,514.0833333333334,1349838.8900000001,High,3.312374761950734
20,Product_20,Home & Kitchen,149.16,1.1,228,285,403,959,907,610,919,959,120,554,873,611,137,7337,611.4166666666666,1094386.92,Low,0.382164697608246
21,Product_21,Clothing,307.87,3.8,696,56,28,165,606,484,562,969,909,886,380,172,207,5424,452.0,1669886.8800000001,Medium,0.6134011289051008
